algo,avg_latency_ms,byzantine_nodes,error_rate,event,f,p50_latency_ms,p95_latency_ms,p99_latency_ms,target_rps,test,throughput_rps
raft,0.5,,0.0,,,0.49,0.76,0.84,,baseline,19.75
pbft,0,,1.0,,,0,0,0,,baseline,0.0
raft,0.33,,0.0,,0,0.32,0.45,0.54,,fault_tolerance,9.95
raft,0.36,,0.0,,1,0.36,0.52,0.54,,fault_tolerance,9.93
raft,0.43,,0.0,,2,0.43,0.59,0.62,,fault_tolerance,9.94
pbft,0,,1.0,,0,0,0,0,,fault_tolerance,0.0
pbft,0,,1.0,,1,0,0,0,,fault_tolerance,0.0
raft,203.36,,0,leader_crash,,0,0,0,,recovery_time,0
raft,0.51,,0.0,,,0.49,0.71,0.71,5,throughput_vs_load,4.99
pbft,0,,1.0,,,0,0,0,5,throughput_vs_load,0.0
raft,0.52,,0.0,,,0.53,0.63,0.65,10,throughput_vs_load,9.94
pbft,0,,1.0,,,0,0,0,10,throughput_vs_load,0.0
raft,0.47,,0.0,,,0.45,0.77,0.83,20,throughput_vs_load,19.75
pbft,0,,1.0,,,0,0,0,20,throughput_vs_load,0.0
raft,0.39,,0.0,,,0.38,0.55,0.79,50,throughput_vs_load,48.11
pbft,0,,1.0,,,0,0,0,50,throughput_vs_load,0.0
raft,0.53,,0.0,,,0.52,0.71,0.83,100,throughput_vs_load,90.67
pbft,0,,1.0,,,0,0,0,100,throughput_vs_load,0.0
pbft,0,0,1.0,,,0,0,0,,byzantine_impact,0.0
pbft,0,1,1.0,,,0,0,0,,byzantine_impact,0.0
